SegmentID,speed0,update0,speed1,update1,speed2,update2,speed3,update3,speed4,update4,speed5,update5,speed6,update6,speed7,update7,speed8,update8,speed9,update9
1048,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0,-1,2011-10-28 14:10:51.0
1064,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0,-1,2011-11-02 10:31:27.0
1065,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1066,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1067,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0,-1,2010-07-21 14:51:02.0
1068,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1069,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0,-1,2010-07-21 14:50:32.0
1070,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1071,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1072,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
